"Vertex1"	"Vertex2"	"weight"	"id"
"n67"	"n31"	"18"	"e8"
"n90"	"n97"	"21"	"e88"
"n39"	"n55"	"2"	"e52"
"n71"	"n44"	"7"	"e71"
"n85"	"n55"	"22"	"e48"
"n111"	"n73"	"15"	"e64"
"n1"	"n73"	"6"	"e35"
"n56"	"n67"	"8"	"e89"
"n57"	"n44"	"18"	"e74"
"n104"	"n99"	"26"	"e44"
"n102"	"n31"	"9"	"e95"
"n62"	"n55"	"20"	"e85"
"n88"	"n44"	"13"	"e72"
"n10"	"n37"	"23"	"e67"
"n61"	"n16"	"1"	"e68"
"n89"	"n44"	"25"	"e73"
"n103"	"n80"	"16"	"e82"
"n39"	"n51"	"4"	"e58"
"n88"	"n73"	"10"	"e36"
"n105"	"n73"	"27"	"e17"
"n109"	"n73"	"2"	"e38"
"n6"	"n73"	"10"	"e117"
"n91"	"n31"	"10"	"e12"
"n12"	"n104"	"19"	"e104"
"n39"	"n80"	"9"	"e50"
"n44"	"n73"	"14"	"e19"
"n20"	"n5"	"19"	"e97"
"n107"	"n80"	"14"	"e55"
"n83"	"n73"	"15"	"e114"
"n46"	"n29"	"14"	"e86"
"n67"	"n80"	"19"	"e14"
"n30"	"n80"	"15"	"e76"
"n85"	"n44"	"6"	"e22"
"n69"	"n40"	"16"	"e105"
"n31"	"n73"	"2"	"e18"
"n39"	"n31"	"20"	"e51"
"n44"	"n80"	"12"	"e20"
"n73"	"n25"	"27"	"e109"
"n64"	"n72"	"24"	"e101"
"n39"	"n44"	"8"	"e53"
"n73"	"n28"	"12"	"e30"
"n78"	"n73"	"16"	"e61"
"n44"	"n56"	"27"	"e69"
"n85"	"n31"	"17"	"e46"
"n39"	"n8"	"24"	"e49"
"n85"	"n8"	"7"	"e10"
"n55"	"n81"	"29"	"e9"
"n45"	"n99"	"4"	"e99"
"n61"	"n73"	"2"	"e34"
"n60"	"n31"	"19"	"e96"
"n10"	"n16"	"14"	"e33"
"n40"	"n73"	"16"	"e37"
"n74"	"n109"	"15"	"e108"
"n96"	"n40"	"23"	"e31"
"n49"	"n80"	"25"	"e122"
"n52"	"n80"	"17"	"e81"
"n107"	"n31"	"27"	"e56"
"n69"	"n80"	"6"	"e80"
"n67"	"n44"	"10"	"e23"
"n40"	"n80"	"1"	"e79"
"n81"	"n73"	"3"	"e5"
"n73"	"n80"	"18"	"e3"
"n4"	"n73"	"22"	"e63"
"n85"	"n91"	"24"	"e90"
"n106"	"n8"	"30"	"e106"
"n43"	"n80"	"24"	"e1"
"n35"	"n73"	"19"	"e15"
"n98"	"n80"	"18"	"e78"
"n37"	"n6"	"29"	"e119"
"n21"	"n71"	"6"	"e87"
"n17"	"n85"	"20"	"e93"
"n83"	"n104"	"15"	"e115"
"n95"	"n14"	"11"	"e113"
"n35"	"n80"	"6"	"e41"
"n20"	"n73"	"24"	"e62"
"n92"	"n31"	"19"	"e94"
"n97"	"n80"	"6"	"e40"
"n10"	"n61"	"24"	"e39"
"n80"	"n14"	"12"	"e45"
"n71"	"n80"	"2"	"e43"
"n49"	"n50"	"25"	"e121"
"n43"	"n44"	"29"	"e25"
"n69"	"n1"	"12"	"e102"
"n37"	"n81"	"22"	"e32"
"n38"	"n6"	"29"	"e118"
"n1"	"n92"	"4"	"e103"
"n43"	"n73"	"16"	"e0"
"n91"	"n73"	"24"	"e16"
"n7"	"n73"	"27"	"e66"
"n67"	"n41"	"15"	"e112"
"n107"	"n73"	"12"	"e54"
"n0"	"n49"	"9"	"e123"
"n76"	"n79"	"13"	"e111"
"n85"	"n80"	"29"	"e13"
"n0"	"n52"	"29"	"e83"
"n16"	"n98"	"25"	"e107"
"n75"	"n39"	"18"	"e75"
"n65"	"n23"	"30"	"e70"
"n25"	"n44"	"28"	"e28"
"n96"	"n80"	"16"	"e77"
"n55"	"n6"	"10"	"e120"
"n96"	"n10"	"10"	"e91"
"n21"	"n48"	"1"	"e92"
"n38"	"n55"	"9"	"e84"
"n73"	"n84"	"25"	"e116"
"n52"	"n50"	"19"	"e110"
"n56"	"n73"	"26"	"e65"
"n44"	"n5"	"14"	"e98"
"n85"	"n51"	"24"	"e57"
"n32"	"n99"	"10"	"e100"
"n91"	"n80"	"26"	"e42"
"n5"	"n73"	"28"	"e59"
"n7"	"n104"	"4"	"e27"
"n38"	"n81"	"28"	"e4"
"n44"	"n31"	"15"	"e47"
